ID_OSM,Tên đường,Loại đường,Bề mặt,Số làn,Độ cao trung bình (m),Ghi chú độ cao,One way,Tốc độ tối đa
way/601556013,Hẻm 920 Quang Trung,residential,,,,3 samples,,
way/601556016,Hẻm 47 Đường số 19,residential,,,,12 samples,,
way/601556028,Hẻm 998/42 Quang Trung,residential,,,,9 samples,,
way/601896159,Không tên,residential,,,,4 samples,,
way/601896160,Không tên,residential,,,,5 samples,,
way/601932580,Phan Văn Trị,secondary,asphalt,3,,2 samples,yes,
way/601932581,Phan Văn Trị,secondary,asphalt,2,,2 samples,yes,
way/601932585,Không tên,secondary_link,asphalt,2,,2 samples,,
way/601932587,Nguyễn Thái Sơn,secondary,asphalt,2,,3 samples,yes,
way/602290885,Hẻm 226/13 Nguyễn Thái Sơn,residential,,,,4 samples,,
way/602814752,Thống Nhất,secondary,asphalt,1,,2 samples,yes,
way/602814753,Thống Nhất,secondary,asphalt,1,,2 samples,yes,
way/602824477,Hẻm 40 Đường số 4,residential,,2,,2 samples,,30
way/602839111,Đường số 7,residential,asphalt,,,3 samples,,
way/602839112,Hẻm 33/2 Đường số 8,residential,,,,9 samples,,
way/602839114,Hẻm 102/92 Lê Văn Thọ,residential,,,,2 samples,,
way/602839118,Đường số 12,residential,asphalt,,,8 samples,,
way/602839119,Không tên,residential,asphalt,,,2 samples,,
way/602839120,Không tên,residential,asphalt,,,2 samples,,
way/602845638,Không tên,residential,,,,2 samples,,
way/602845641,Không tên,residential,,,,2 samples,,
way/602845649,Dương Quảng Hàm,tertiary,asphalt,2,,10 samples,yes,
way/604499606,Hẻm 1075 Lê Đức Thọ,residential,asphalt,,,7 samples,,
way/604509900,Hẻm 796 Lê Đức Thọ,residential,asphalt,2,,9 samples,,
way/604509902,Hẻm 796/131 Lê Đức Thọ,residential,,,,2 samples,,
way/604522433,Hẻm 736/172 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604522436,Hẻm 736/183/2 Lê Đức Thọ,residential,,,,2 samples,,
way/604522447,Hẻm 796/157 Lê Đức Thọ,residential,,,,2 samples,,
way/604522455,Hẻm 736/183 Lê Đức Thọ,residential,asphalt,,,4 samples,,
way/604522457,Hẻm 736/180 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604522459,Hẻm 736/186 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/604522461,Hẻm 736/192 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/604774600,Hẻm 1197 Lê Đức Thọ,residential,concrete,1,,3 samples,,
way/604794698,Không tên,residential,,,,2 samples,,
way/604794705,Không tên,residential,,,,6 samples,,
way/604794710,Không tên,residential,,,,4 samples,,
way/604794721,Hẻm 140/98/16 Vườn Lài,residential,,,,2 samples,,
way/604794723,Hẻm 140/98/16 Đường Vườn Lài,residential,,,,6 samples,,
way/604794724,Không tên,residential,,,,6 samples,,
way/604794739,Không tên,residential,,,,3 samples,,
way/604794742,Không tên,residential,,,,2 samples,,
way/604794744,Không tên,residential,,,,3 samples,,
way/604794745,Hẻm 140/55 Đường Vườn Lài,residential,unpaved,,,10 samples,,
way/604799247,Hẻm 537 Nguyễn Oanh,residential,,,,8 samples,yes,
way/604799248,Không tên,residential,,,,2 samples,,
way/604799250,Hẻm 537 Nguyễn Oanh,residential,,,,6 samples,yes,
way/604799251,Không tên,residential,,,,2 samples,,
way/604799252,Hẻm 537 Nguyễn Oanh,residential,,,,2 samples,,
way/604799254,Hẻm 537/65 Nguyễn Oanh,residential,,,,7 samples,,
way/604799257,Hẻm 189/1 Đường Số 8,residential,,,,2 samples,,
way/604799258,Hẻm 189 Đường Số 8,residential,asphalt,,,5 samples,,
way/604804276,Hẻm 573/15 Nguyễn Oanh,residential,,,,2 samples,,
way/604804280,Không tên,residential,asphalt,,,6 samples,,
way/604804281,Hẻm 110/55 Đường Số 30,residential,,,,2 samples,,
way/604804283,Hẻm 223/28 Đường số 5,residential,,,,3 samples,,
way/604804287,Hẻm 175 Đường số 5,residential,,,,3 samples,,
way/604804288,Hẻm 185 Đường Số 8,residential,asphalt,,,2 samples,,
way/604804294,Hẻm 30 Nguyễn Văn Dung,residential,,,,5 samples,,
way/604811737,Không tên,residential,asphalt,,,10 samples,,
way/604811738,Không tên,residential,,,,3 samples,,
way/604811739,Không tên,residential,,,,3 samples,,
way/604811740,Hẻm 702/67 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604811741,Hẻm 702/63 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604811743,Hẻm 702/102 Lê Đức Thọ,residential,asphalt,,,4 samples,,
way/604811744,Không tên,residential,,,,5 samples,,
way/604811745,Hẻm 688/57 Lê Đức Thọ,residential,asphalt,,,4 samples,,
way/604818462,Hẻm 702 Lê Đức Thọ,residential,,,,2 samples,,
way/604818463,Hẻm 702 Lê Đức Thọ,residential,asphalt,1,,10 samples,,
way/604818465,Hẻm 730/3 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604818467,Hẻm 688/57/129 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/604818469,Hẻm 59 Đường số 6,residential,asphalt,,,3 samples,,
way/604818470,Hẻm 702/86 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/604818471,Hẻm 688/44 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/604818473,Hẻm 688/36 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604818476,Không tên,residential,,,,2 samples,,
way/604818478,Hẻm 153/10 Đường số 8,residential,,,,2 samples,,
way/604818480,Hẻm 702/68 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604818482,Không tên,residential,asphalt,,,2 samples,,
way/604818484,Hẻm 730/108 Đường Lê Đức Thọ,residential,,,,2 samples,,
way/604818486,Hẻm 730/84 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604818488,Hẻm 730/94 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/604818490,Không tên,residential,,,,2 samples,,
way/604818492,Không tên,residential,,,,4 samples,,
way/604818497,Không tên,residential,,,,8 samples,,
way/604818506,Đường B7,residential,,,,3 samples,,
way/604818508,Hẻm 702 Lê Đức Thọ,residential,asphalt,,,14 samples,,
way/604830680,Phan Văn Trị,secondary,asphalt,2,,9 samples,,
way/604832453,Hẻm 631 Lê Đức Thọ,residential,asphalt,1,,7 samples,,
way/604832454,Hẻm 809 Lê Đức Thọ,residential,concrete,1,,3 samples,,
way/604832456,Hẻm 755 Lê Đức Thọ,residential,concrete,,,10 samples,,
way/604843291,Hẻm 502 Thống Nhất,residential,asphalt,,,14 samples,,
way/604843292,Hẻm 713/11 Lê Đức Thọ,residential,,,,7 samples,,
way/604843293,Hẻm 713 Lê Đức Thọ,residential,concrete,,,8 samples,,
way/604843294,Hẻm 862/116/11 Lê Đức Thọ,residential,,,,3 samples,,
way/604843296,Hẻm 43 Đường số 6,residential,asphalt,,,2 samples,,
way/604843299,Hẻm 862/44 Lê Đức Thọ,residential,,,,5 samples,,
way/604843300,Hẻm 796/2 Lê Đức Thọ,residential,,,,4 samples,,
way/604843301,Hẻm 583 Lê Đức Thọ,residential,concrete,1,,11 samples,,
way/604843303,Hẻm 796/10 Lê Đức Thọ,residential,,,,3 samples,,
way/604843304,Hẻm 659 Lê Đức Thọ,residential,concrete,1,,2 samples,,
way/604843305,Không tên,residential,,,,5 samples,,
way/604843306,Không tên,residential,asphalt,,,4 samples,,
way/604867279,Hẻm 65 Đường số 2,residential,,,,8 samples,,
way/604867282,Không tên,residential,,,,3 samples,,
way/604867285,Hẻm 65/4 Đường số 2,residential,,,,2 samples,,
way/604867291,Hẻm 535/43 Thống Nhất,residential,,,,4 samples,,
way/604867296,Hẻm 535/59 Thống Nhất,residential,,,,6 samples,,
way/604881200,Không tên,residential,,,,2 samples,,
way/604881201,Hẻm 134/44 Đường số 3,residential,,,,2 samples,,
way/604881203,Hẻm 148/9 Đường số 3,residential,,,,4 samples,,
way/604881205,Hẻm 148 Đường số 3,residential,asphalt,,,6 samples,,
way/604881217,Hẻm 532 Lê Văn Thọ,residential,asphalt,,,4 samples,,
way/604900136,Hẻm 755/35 Lê Đức Thọ,residential,,,,8 samples,,
way/604900137,Hẻm 713/20 Lê Đức Thọ,residential,,,,3 samples,,
way/604901868,Hẻm 226 Nguyễn Thái Sơn,residential,,,,5 samples,,
way/604901877,Hẻm 97 Nguyễn Thái Sơn,residential,,,,4 samples,,
way/605102352,Hẻm 502/13 Thống Nhất,residential,,,,3 samples,,
way/605164979,Không tên,residential,,,,4 samples,,
way/605164980,Hẻm 153 Đường số 5,residential,,,,11 samples,,
way/605469951,Không tên,primary_link,asphalt,1,,6 samples,yes,
way/605469953,Không tên,primary_link,asphalt,1,,9 samples,yes,
way/605476848,Hẻm 90 Đường Nguyễn Du,residential,,,,7 samples,,
way/605476849,Hẻm 34 Đường Nguyễn Du,residential,asphalt,1,,10 samples,,
way/605484514,Hẻm 263 Nguyễn Thái Sơn,residential,concrete,,,15 samples,,
way/605484519,Hẻm 542 Nguyễn Thái Sơn,residential,asphalt,1,,3 samples,,
way/605484520,Hẻm 170 Dương Quảng Hàm,residential,,,,10 samples,,
way/605491834,Hẻm 566/29 Nguyễn Thái Sơn,residential,,,,7 samples,,
way/605491835,Hẻm 114 Dương Quảng Hàm,residential,,,,6 samples,,
way/605491845,Hẻm 50 Đường Dương Quảng Hàm,residential,,,,2 samples,,
way/605491847,Hẻm 122 Dương Quảng Hàm,residential,,,,11 samples,,
way/605491848,Hẻm 80/17 Dương Quảng Hàm,residential,,,,9 samples,,
way/605491849,Hẻm 80/17 Dương Quảng Hàm,residential,,,,2 samples,,
way/605491851,Hẻm 80 Dương Quảng Hàm,residential,,,,12 samples,,
way/605491853,Hẻm 80/31 Dương Quảng Hàm,residential,,,,2 samples,,
way/605491854,Hẻm 80/17 Dương Quảng Hàm,residential,,,,3 samples,,
way/605491857,Hẻm 80/17 Dương Quảng Hàm,residential,,,,8 samples,,
way/605511893,Hẻm 566/43 Nguyễn Thái Sơn,residential,,,,2 samples,,
way/605511894,Hẻm 566/43 Nguyễn Thái Sơn,residential,,,,5 samples,,
way/605511899,Hẻm 566/137 Nguyễn Thái Sơn,residential,,,,9 samples,,
way/605511906,Hẻm 566/197 Nguyễn Thái Sơn,residential,,,,7 samples,,
way/605519796,Hẻm 148 Trần Thị Nghĩ,residential,,,,3 samples,,
way/605532077,Hẻm 136 Nguyễn Oanh,residential,asphalt,,,3 samples,,
way/605535616,Hẻm 327/22 Quang Trung,residential,,,,4 samples,,
way/605575256,Hẻm 114/7 Dương Quảng Hàm,residential,,,,3 samples,,
way/606181511,Hẻm 499/44 Quang Trung,residential,,,,8 samples,,
way/606181513,Hẻm 499/6/96 Đường Quang Trung,residential,,,,3 samples,,
way/606181514,Hẻm 417/69/72 Quang Trung,residential,,,,2 samples,,
way/606187913,Hẻm 30/8 Thống Nhất,residential,,,,6 samples,,
way/606187916,Hẻm 58/14 Thống Nhất,residential,,,,3 samples,,
way/606187918,Hẻm 61 Thống Nhất,residential,,,,10 samples,,
way/606280040,Hẻm 1306 Quang Trung,residential,,,,6 samples,,
way/606515800,Hẻm 1050/76 Quang Trung,residential,,,,2 samples,,
way/606515803,Hẻm 1180 Quang Trung,residential,,,,9 samples,,
way/606525667,Hẻm 10 Đường số 3,residential,,,,7 samples,,
way/606525672,Hẻm 67 Đường số 3,residential,,,,3 samples,,
way/606525676,Hẻm 30 Đường số 3,residential,,,,3 samples,,
way/606525677,Hẻm 42 Đường số 3,residential,,,,5 samples,,
way/606525678,Hẻm 18 Đường số 3,residential,,,,7 samples,,
way/606525683,Hẻm 31 Đường số 3,residential,,,,4 samples,,
way/606525684,Hẻm 21 Đường số 3,residential,,,,4 samples,,
way/606525685,Hẻm 350 Nguyễn Văn Khối,residential,,,,9 samples,,
way/606530499,Hẻm 130/23 Đường số 9,residential,,,,2 samples,,
way/606530503,Hẻm 80/29 Đường số 3,residential,concrete,,,3 samples,,
way/606530509,Hẻm 125/17 Đường số 9,residential,,,,3 samples,,
way/606530510,Hẻm 327 Đường số 10,residential,,,,3 samples,,
way/606530511,Hẻm 401/17 Đường Nguyễn Văn Khối,residential,,,,2 samples,,
way/606530513,Hẻm 77 Đường số 3,residential,concrete,,,3 samples,,
way/606530519,Hẻm 297 Đường số 10,residential,,,,2 samples,,
way/606530520,Hẻm 141/1 Đường số 9,residential,,,,2 samples,,
way/606530521,Hẻm 145 Đường số 9,residential,asphalt,,,2 samples,,
way/606530522,Hẻm 151 Đường số 9,residential,asphalt,,,2 samples,,
way/606530523,Hẻm 162 Đường số 9,residential,asphalt,,,3 samples,,
way/606530524,Hẻm 248/19 Nguyễn Văn Khối,residential,,,,2 samples,,
way/606530525,Hẻm 54/15 Đường số 21,residential,,,,3 samples,,
way/606530529,Hẻm 248/10 Đường số 10,residential,,,,3 samples,,
way/606530530,Hẻm 125 Đường số 9,residential,concrete,,,11 samples,,
way/606545146,Hẻm 95 Đường số 3,residential,asphalt,,,11 samples,,
way/606545149,Không tên,residential,,,,7 samples,,
way/606545159,Hẻm 220/47 Đường số 10,residential,asphalt,1,,4 samples,,
way/606545185,Hẻm 220/1 Đường số 10,residential,asphalt,,,2 samples,,
way/606545189,Hẻm 24 Đường số 3,residential,,,,2 samples,,
way/606549758,Hẻm 326/41 Đường số 8,residential,,,,10 samples,,
way/606549759,Hẻm 78/49 Nguyễn Văn Khối,residential,,,,5 samples,,
way/606549761,Hẻm 334 Đường số 8,residential,concrete,,,3 samples,,
way/606549762,Hẻm 326 Đường Số 8,residential,concrete,,,4 samples,,
way/606549763,Hẻm 34 Đường số 4,residential,,,,8 samples,,
way/606549764,Hẻm 220/103 Đường số 10,residential,,,,4 samples,,
way/606549765,Hẻm 220/73 Đường số 10,residential,concrete,,,2 samples,,
way/606549766,Hẻm 347/11 Lê Văn Thọ,residential,,,,8 samples,,
way/606549768,Hẻm 254/5 Lê Văn Thọ,residential,,,,3 samples,,
way/606549769,Hẻm 254/5 Lê Văn Thọ,residential,,,,4 samples,,
way/606549772,Hẻm 254 Lê Văn Thọ,residential,asphalt,,,6 samples,,
way/606558811,Hẻm 688/12 Quang Trung,residential,,,,3 samples,,
way/606558813,Hẻm 69/27 Lê Văn Thọ,residential,,,,3 samples,,
way/606558824,Hẻm 774 Quang Trung,residential,asphalt,,,2 samples,,
way/606565067,Hẻm 203 Đường số 1,residential,asphalt,,,4 samples,,
way/606565069,Hẻm 220/91 Đường số 10,residential,concrete,,,2 samples,,
way/606565071,Hẻm 32/9 Đường số 9,residential,,,,2 samples,,
way/606565075,Hẻm 318 Đường số 8,residential,concrete,,,3 samples,,
way/606565078,Không tên,residential,,,,2 samples,,
way/606565080,Hẻm 231 Lê Văn Thọ,residential,asphalt,,,4 samples,,
way/606565081,Hẻm 347/64 Lê Văn Thọ,residential,,,,2 samples,,
way/606565083,Hẻm 347/40 Lê Văn Thọ,residential,,,,2 samples,,
way/606565084,Hẻm 254/8 Lê Văn Thọ,residential,,,,2 samples,,
way/606565086,Hẻm 226 Lê Văn Thọ,residential,asphalt,,,5 samples,,
way/606565090,Hẻm 152/2 Nguyễn Văn Khối,residential,,,,3 samples,,
way/606565092,Hẻm 15 Đường số 4,residential,,,,3 samples,,
way/606565096,Hẻm 220/74 Nguyễn Văn Khối,residential,asphalt,1,,2 samples,,
way/606565097,Hẻm 221 Đường số 1,residential,asphalt,,,2 samples,,
way/606565099,Hẻm 220/48 Nguyễn Văn Khối,residential,asphalt,1,,2 samples,,
way/606565100,Hẻm 184 Nguyễn Văn Khối,residential,,,,6 samples,,
way/606565101,Hẻm 216 Lê Văn Thọ,residential,asphalt,,,5 samples,,
way/606565102,Hẻm 12 Đường số 4,residential,,,,3 samples,,
way/606565104,Hẻm 78/3 Nguyễn Văn Khối,residential,,,,3 samples,,
way/606565108,Hẻm 347/24 Lê Văn Thọ,residential,,,,2 samples,,
way/606565109,Hẻm 347/10 Lê Văn Thọ,residential,,,,2 samples,,
way/606566814,Hẻm 656/68 Quang Trung,residential,,,,3 samples,,
way/606566815,Hẻm 15 đường số 8,residential,asphalt,,,7 samples,,
way/606566817,Hẻm 656/9 Quang Trung,residential,,,,2 samples,,
way/606566818,Hẻm 638/12 Quang Trung,residential,,,,3 samples,,
way/606566822,Hẻm 656/36 Quang Trung,residential,,,,9 samples,,
way/606570888,Hẻm 160/7 Đường số 4,residential,,,,2 samples,,
way/606570890,Hẻm 160/28 Đường số 4,residential,,,,8 samples,,
way/606570891,Hẻm 418/20 Lê Văn Thọ,residential,,,,3 samples,,
way/606570892,Hẻm 418/2 Lê Văn Thọ,residential,,,,2 samples,,
way/606570893,Hẻm 88/1 Đường số 4,residential,,,,2 samples,,
way/606570895,Hẻm 76/6 Đường số 9,residential,,,,2 samples,,
way/606570896,Hẻm 26 Đường số 4,residential,,,,2 samples,,
way/606577495,Hẻm 143 Đường số 8,residential,concrete,,,5 samples,,
way/606577496,Hẻm 405/6 Thống Nhất,residential,,,,3 samples,,
way/606577497,Hẻm 481 Thống Nhất,residential,asphalt,,,3 samples,,
way/606577498,Hẻm 511 Thống Nhất,residential,asphalt,,,2 samples,,
way/606577500,Hẻm 266/5 Đường số 6,residential,,,,2 samples,,
way/606577501,Hẻm 477 Thống Nhất,residential,asphalt,,,9 samples,,
way/606577502,Hẻm 497 Thống Nhất,residential,asphalt,,,13 samples,,
way/606577503,Hẻm 54 Đường số 2,residential,,,,2 samples,,
way/606577842,Hẻm 197 Thống Nhất,residential,asphalt,,,5 samples,,
way/606577844,Đường số 10,residential,asphalt,,,12 samples,,
way/606577845,Hẻm 228 Thống Nhất,residential,,,,2 samples,,
way/606608135,Không tên,tertiary_link,asphalt,2,,2 samples,,
way/606608138,Hẻm 56 An Nhơn,residential,concrete,1,,2 samples,,
way/606608147,Không tên,residential,,,,2 samples,,
way/606622202,Hẻm 308 Đường số 8,residential,concrete,,,3 samples,,
way/606622204,Hẻm 45 Đường số 1,residential,asphalt,,,6 samples,,
way/606622206,Hẻm 405/41 Thống Nhất,residential,,,,5 samples,,
way/606622220,Hẻm 294 Đường số 8,residential,concrete,,,9 samples,,
way/606622224,Hẻm 48 Đường số 1,residential,asphalt,,,7 samples,,
way/606622227,Hẻm 188 Đường số 8,residential,asphalt,,,3 samples,,
way/606622229,Hẻm 133/34 Đường số 8,residential,,,,4 samples,,
way/606622233,Hẻm 252 Đường số 8,residential,concrete,,,3 samples,,
way/606622235,Hẻm 214 Đường số 8,residential,asphalt,,,9 samples,,
way/606622236,Hẻm 73 Đường số 1,residential,asphalt,,,10 samples,,
way/606622238,Hẻm 70 Đường số 1,residential,asphalt,,,3 samples,,
way/606622243,Hẻm 1 Đường số 2,residential,,,,2 samples,,
way/606622245,Hẻm 78/44 Nguyễn Văn Khối,residential,,,,11 samples,,
way/606622246,Hẻm 78/10 Nguyễn Văn Khối,residential,,,,2 samples,,
way/606622248,Hẻm 78/16 Nguyễn Văn Khối,residential,,,,4 samples,,
way/606622250,Hẻm 205 Đường số 8,residential,asphalt,,,2 samples,,
way/606622251,Hẻm 405/28 Thống Nhất,residential,,,,3 samples,,
way/606622253,Hẻm 16 Đường số 1,residential,asphalt,,,2 samples,,
way/606622255,Hẻm 435 Đường Thống Nhất,residential,asphalt,,,9 samples,,
way/606622256,Hẻm 179 Đường số 8,residential,asphalt,,,2 samples,,
way/606622257,Hẻm 27 Đường số 2,residential,,,,4 samples,,
way/606626459,Hẻm 196 Lê Đức Thọ,residential,concrete,,,2 samples,,
way/606626465,Hẻm 140/17 Lê Đức Thọ,residential,,,,4 samples,,
way/606626476,Hẻm 119 Nguyễn Văn Lượng,residential,concrete,2,,8 samples,,
way/606626795,Hẻm 414 Thống Nhất,residential,asphalt,1,,5 samples,,
way/606626800,Hẻm 27/1 Đường số 9,residential,asphalt,,,7 samples,,
way/606626803,Hẻm 74 Đường số 9,residential,asphalt,,,8 samples,,
way/606626805,Không tên,residential,,,,5 samples,,
way/606626807,Hẻm 440/13 Thống Nhất,residential,,,,4 samples,,
way/606631761,Hẻm 631/31 Lê Đức Thọ,residential,,,,3 samples,,
way/606631763,Hẻm 20 Đường số 9,residential,asphalt,,,6 samples,,
way/606631767,Không tên,residential,,,,3 samples,,
way/606631768,Hẻm 27/21 Đường số 9,residential,asphalt,,,4 samples,,
way/606631770,Hẻm 27/1 Đường số 9,residential,,,,3 samples,,
way/606631774,Hẻm 440/13 Thống Nhất,residential,,,,4 samples,,
way/606637285,Hẻm 416/18 Dương Quảng Hàm,residential,,,,2 samples,,
way/606637288,Hẻm 496/25 Dương Quảng Hàm,residential,,,,3 samples,,
way/606637291,Hẻm 123 Đường số 20,residential,concrete,,,3 samples,,
way/606637292,Hẻm 496/2 Dương Quảng Hàm,residential,,,,3 samples,,
way/606637294,Hẻm 496/20 Dương Quảng Hàm,residential,,,,3 samples,,
way/606637299,Hẻm 416/11 Dương Quảng Hàm,residential,,,,2 samples,,
way/606637301,Hẻm 234/60 Lê Đức Thọ,residential,,,,2 samples,,
way/606643225,Hẻm 364/51 Dương Quảng Hàm,residential,,,,4 samples,,
way/606643228,Hẻm 364/72 Dương Quảng Hàm,residential,,,,3 samples,,
way/606663870,Hẻm 474 Thống Nhất,residential,asphalt,,,5 samples,,
way/606663876,Hẻm 362 Thống Nhất,residential,asphalt,1,,8 samples,,
way/606663881,Hẻm 440/93 Thống Nhất,residential,,,,4 samples,,
way/606663883,Hẻm 440/109 Lê Đức Thọ,residential,,,,3 samples,,
way/606663885,Hẻm 198 Nguyễn Văn Khối,residential,,,,2 samples,,
way/606663888,Hẻm 282 Đường số 8,residential,concrete,,,4 samples,,
way/606663890,Hẻm 78/37 Nguyễn Văn Khối,residential,,,,4 samples,,
way/606663892,Hẻm 266/29 Đường số 8,residential,,,,3 samples,,
way/606663914,Hẻm 175 Đường số 1,residential,asphalt,,,4 samples,,
way/606863248,Hẻm 15/32 Đường Số 9,residential,,,,2 samples,,
way/606863250,Hẻm 616/39 Lê Đức Thọ,residential,asphalt,,,9 samples,,
way/606863251,Không tên,residential,,,,10 samples,,
way/606863252,Hẻm 411 Lê Đức Thọ,residential,asphalt,1,,14 samples,,
way/606863254,Hẻm 514 Lê Đức Thọ,residential,asphalt,,,7 samples,,
way/606863255,Hẻm 1 Đường số 5,residential,,,,4 samples,,
way/606863256,Hẻm 15 Đường số 9,residential,asphalt,,,7 samples,,
way/606863257,Hẻm 493 Lê Đức Thọ,residential,asphalt,2,,6 samples,,
way/606870136,Hẻm 467/101 Lê Đức Thọ,residential,asphalt,,,4 samples,,
way/606870137,Không tên,residential,,,,4 samples,,
way/606870147,Hẻm 616/26 Lê Đức Thọ,residential,,,,3 samples,,
way/606870149,Không tên,residential,,,,2 samples,,
way/606870152,Hẻm 467/100 Lê Đức Thọ,residential,asphalt,,,5 samples,,
way/606870156,Hẻm 467/79 Lê Đức Thọ,residential,concrete,,,6 samples,,
way/606870158,Hẻm 467/60 Lê Đức Thọ,residential,asphalt,,,4 samples,,
way/606870161,Hẻm 467/43 Lê Đức Thọ,residential,asphalt,,,2 samples,,
way/606870163,Hẻm 554 Lê Đức Thọ,residential,asphalt,1,,5 samples,,
way/606870173,Hẻm 98 Đường số 5,residential,,,,9 samples,,
way/606870175,Hẻm 514/40 Lê Đức Thọ,residential,,,,7 samples,,
way/606870178,Hẻm 668 Lê Đức Thọ,residential,asphalt,2,,5 samples,,
way/606870182,Không tên,residential,,,,3 samples,,
way/606870184,Hẻm 523 Lê Đức Thọ,residential,concrete,,,7 samples,,
way/606870187,Hẻm 467/31 Lê Đức Thọ,residential,concrete,,,5 samples,,
way/606870195,Hẻm 616/61/11 Lê Đức Thọ,residential,asphalt,,,3 samples,,
way/606870196,Hẻm 654 Lê Đức Thọ,residential,,,,3 samples,,
way/606870197,Hẻm 383 Lê Đức Thọ,residential,asphalt,1,,8 samples,,
way/606870198,Không tên,residential,,,,3 samples,,
way/606870199,Hẻm 433/38 Lê Đức Thọ,residential,,,,3 samples,,
way/606870200,Hẻm 463/31 Lê Đức Thọ,residential,,,,7 samples,,
way/606870201,Không tên,residential,,,,6 samples,,
way/606870204,Không tên,residential,,,,6 samples,,
way/606870206,Không tên,residential,,,,2 samples,,
way/606870207,Hẻm 493/13 Lê Đức Thọ,residential,asphalt,,,11 samples,,
way/606873384,Hẻm 72/9 Đường số 27,residential,,,,6 samples,,
way/606873386,Hẻm 87 Đường số 27,residential,asphalt,,,9 samples,,
way/606873387,Hẻm 155/1 Đường số 28,residential,,,,15 samples,,
way/606873388,Hẻm 100 Đường số 28,residential,concrete,,,2 samples,,
way/606873389,Hẻm 88 Đường số 27,residential,concrete,,,6 samples,,
way/606873390,Hẻm 126 Đường Số 28,residential,,,,9 samples,,
way/606873391,Hẻm 110/2 Đường số 30,residential,asphalt,,,3 samples,,
way/606873392,Hẻm 141/43 Đường số 28,residential,asphalt,,,4 samples,,
way/606900972,Hẻm 46 Đường Số 30,residential,concrete,,,5 samples,,
way/606900975,Hẻm 110/39 Đường Số 30,residential,,,,4 samples,,
way/606900976,Hẻm 86 Đường số 27,residential,,,,7 samples,,
way/606900977,Hẻm 84 Đường số 27,residential,asphalt,,,3 samples,,
way/606900978,Hẻm 60 Đường số 27,residential,asphalt,,,6 samples,,
way/606900982,Hẻm 139/1 Đường số 27,residential,,,,6 samples,,
way/606900983,Hẻm 371/2 Nguyễn Oanh,residential,,,,12 samples,,
way/606900984,Hẻm 462/12 Nguyễn Oanh,residential,,,,7 samples,,
way/606900986,Hẻm 146 Đường Số 30,residential,,,,4 samples,,
way/606900987,Hẻm 110/2/2 Đường số 30,residential,,,,4 samples,,
way/606900988,Hẻm 141/56 Đường số 28,residential,asphalt,,,5 samples,,
way/606900989,Hẻm 110/59 Đường số 30,residential,,,,2 samples,,
way/606900990,Hẻm 183 Đường số 28,residential,,,,6 samples,,
way/606900992,Hẻm 139 Đường số 27,residential,asphalt,,,8 samples,,
way/606900993,Không tên,residential,,,,2 samples,,
way/606900994,Không tên,residential,,,,2 samples,,
way/606900995,Không tên,residential,,,,3 samples,,
way/606900996,Hẻm 405/28 Nguyễn Oanh,residential,,,,7 samples,,
way/606900997,Không tên,residential,,,,9 samples,,
way/606900998,Hẻm 165 Đường số 28,residential,,,,3 samples,,
way/606900999,Hẻm 141/48 Đường số 28,residential,asphalt,,,3 samples,,
way/606902683,Hẻm 87/38 Đường Số 27,residential,,,,3 samples,,
way/606902685,Hẻm 87/24 Đường số 27,residential,,,,3 samples,,
way/606906169,Hẻm 180 Đường số 28,residential,,,,11 samples,,
way/606906172,Hẻm 195 Đường Số 28,residential,,,,3 samples,,
way/606909083,Không tên,residential,,,,8 samples,,
way/606909088,Không tên,residential,,,,4 samples,,
way/606909092,Không tên,residential,,,,2 samples,,
way/606909093,Hẻm 140/27 Đường Vườn Lài,residential,,,,5 samples,,
way/606909098,Hẻm 154 Đường Vườn Lài,residential,,,,9 samples,,
way/606913548,Hẻm 72 Đường số 30,residential,asphalt,,,7 samples,,
way/606913549,Không tên,residential,,,,5 samples,,
way/606913551,Không tên,residential,,,,2 samples,,
way/606929713,Hẻm 234/11 Lê Đức Thọ,residential,asphalt,,,8 samples,,
way/606929715,Không tên,residential,,,,5 samples,,
way/606929716,Hẻm 362 Lê Đức Thọ,residential,concrete,1,,5 samples,,
way/606929717,Hẻm 2 Đường số 30,residential,concrete,,,3 samples,,
way/606929720,Hẻm 261 Lê Đức Thọ,residential,asphalt,2,,3 samples,,
way/606932442,Hẻm 14 Đường số 30,residential,concrete,,,8 samples,,
way/606932444,Hẻm 24 Đường số 30,residential,concrete,,,4 samples,,
way/606932445,Hẻm 30 Đường số 27,residential,asphalt,,,4 samples,,
